Textbox28,Textbox25,Textbox26
"*Documented occurrences of the species in the park or in the adjoining region of the park give reason to suspect that it probably occurs within the park; however, current, verifiable evidence is needed.",NPSpecies - The National Park Service biodiversity database.  IRMA Portal version.https://irma.nps.gov/npspecies.  Accessed 11/22/2022 3:00:05 PM,"The species listed here are assumed to be 'present in park' and have been reviewed.  Evidence, in the form of a current, verifiable reference, voucher or observation, is included in the NPSpecies data system or is readily available.  Those species marked with an asterisk have the designation of 'probably present,' and efforts are underway to obtain current, verifiable evidence to elevate the status to 'present in park.'"

Category1,CategoryGroup,OccurrenceNotPresent,Textbox13,PreferredCommonNames,Textbox14,Textbox1
Mammals,Rodentia/Cricetidae,,Peromyscus maniculatus,"Deer Mouse, North American Deermouse",- ,Report Species Count: 68
Mammals,Rodentia/Cricetidae,,Phenacomys intermedius,"Heather Vole, Western Heather Vole",- ,Report Species Count: 68
Mammals,Rodentia/Dipodidae,,Zapus princeps,Western Jumping Mouse,- ,Report Species Count: 68
Mammals,Rodentia/Erethizontidae,,Erethizon dorsatum,"common porcupine, porcupine",- ,Report Species Count: 68
Mammals,Rodentia/Geomyidae,,Thomomys talpoides,Northern Pocket Gopher,- ,Report Species Count: 68
Mammals,Rodentia/Muridae,,Mus musculus,House Mouse,- ,Report Species Count: 68
Mammals,Rodentia/Sciuridae,,Glaucomys sabrinus,Northern Flying Squirrel,- ,Report Species Count: 68
Mammals,Rodentia/Sciuridae,,Marmota flaviventris,Yellow-bellied Marmot,- ,Report Species Count: 68
Mammals,Rodentia/Sciuridae,,Neotamias amoenus,yellow pine chipmunk,- ,Report Species Count: 68
Mammals,Rodentia/Sciuridae,,Neotamias minimus,Least chipmunk,- ,Report Species Count: 68
Mammals,Rodentia/Sciuridae,,Neotamias umbrinus,Uinta chipmunk,- ,Report Species Count: 68
Mammals,Rodentia/Sciuridae,,Spermophilus armatus,Uinta Ground Squirrel,- ,Report Species Count: 68
Mammals,Rodentia/Sciuridae,,Spermophilus lateralis,Golden-mantled Ground Squirrel,- ,Report Species Count: 68
Mammals,Rodentia/Sciuridae,,Tamiasciurus hudsonicus,Red Squirrel,- ,Report Species Count: 68
Mammals,Soricomorpha/Soricidae,,Sorex cinereus,"Cinereus Shrew, common shrew, masked shrew",- ,Report Species Count: 68
Mammals,Soricomorpha/Soricidae,,Sorex monticolus,dusky shrew,- ,Report Species Count: 68
Mammals,Soricomorpha/Soricidae,,Sorex nanus,"Dwarf Shrew, Rocky Mountain dwarf shrew",- ,Report Species Count: 68
Mammals,Soricomorpha/Soricidae,,Sorex palustris,"American Water Shrew, northern water shrew, Water Shrew",- ,Report Species Count: 68
Mammals,Soricomorpha/Soricidae,,Sorex preblei,"malheur shrew, Preble's Shrew",- ,Report Species Count: 68

