Park Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
Black Canyon of the Gunnison NP,"173,687","167,247","175,581","180,814","160,450","219,576","160,185","171,451","176,344","168,336","192,570","175,852","183,045","209,166","238,018","307,143","308,962","432,818","341,620","308,910","222,589"
Blue Ridge PKWY,"21,538,760","18,344,051","17,999,116","17,882,567","18,953,478","17,352,286","16,309,307","15,936,316","14,517,118","15,382,447","15,205,059","12,877,368","13,941,749","15,054,603","15,175,578","16,093,765","14,690,418","14,976,085","14,099,485","15,948,148","16,113,885"
Bluestone NSR,"55,115","50,302","39,590","45,146","46,093","48,061","46,942","45,904","37,790","41,670","36,842","36,266","38,450","36,733","34,139","32,028","31,316","37,663","25,207","26,710","39,598"
Booker T. Washington NM,"19,188","17,906","18,513","16,357","18,339","19,410","19,990","21,216","21,665","24,030","24,361","22,103","26,127","27,205","23,440","25,479","22,732","24,640","22,482","18,963","21,707"
Boston African American NHS,"299,958","227,200","236,353","327,921","255,060","265,459","280,279","298,519","333,463","379,906","404,248","386,084","408,641","412,377","414,170","413,151","410,893","419,585","89,616","239,238","325,106"
Boston Harbor Islands NRA,,,,,,,,,,,,,,,,,,,"71,991","20,777","46,384"
Boston NHP,"1,801,100","1,617,503","1,897,505","1,992,242","1,944,386","2,184,889","2,232,495","2,155,026","2,060,497","2,546,156","2,629,064","2,245,875","2,476,078","2,262,841","2,594,495","3,425,606","3,053,241","3,201,834","277,170","1,098,210","2,184,811"
Brown v. Board of Education NHS,,,"22,101","18,390","20,926","17,536","16,950","19,228","17,808","16,886","21,101","19,356","26,868","25,338","27,968","25,204","24,083","21,413","4,064","9,113","19,685"
Bryce Canyon NP,"886,436","903,760","987,253","1,017,681","890,676","1,012,563","1,043,321","1,216,377","1,285,492","1,296,000","1,385,352","1,311,875","1,435,741","1,745,804","2,365,110","2,571,684","2,679,478","2,594,904","1,464,655","2,104,600","1,509,938"
Buck Island Reef NM,"50,213","46,274","44,806","47,883","47,456","46,303","46,025","47,341","27,403","28,223","30,436","28,972","34,400","41,936","38,929","33,082","31,411","37,085","16,032","45,664","38,494"
Buffalo NR,"765,628","635,344","1,191,021","984,059","1,068,090","1,194,043","1,405,802","1,522,586","1,545,599","1,169,802","1,093,083","1,125,227","1,357,057","1,463,304","1,785,359","1,471,330","1,240,119","1,326,282","1,478,846","1,515,874","1,266,923"
Cabrillo NM,"1,048,371","1,004,280","903,265","826,615","804,826","739,534","705,331","767,687","763,140","813,351","877,951","856,128","893,434","981,825","959,145","997,903","842,104","761,485","523,878","683,613","837,693"
Camp Nelson NM,,,,,,,,,,,,,,,,,,,,"43,095","43,095"
Canaveral NS,"1,075,747","1,045,898","1,050,211","1,007,446","1,005,402","1,038,449","994,453","1,001,665","966,099","1,005,001","994,430","1,133,688","1,451,225","1,689,754","1,629,944","1,598,586","1,657,855","1,884,122","1,162,950","2,218,059","1,280,549"
Cane River Creole NHP,"7,449","8,380","12,933","28,937","34,453","30,584","24,587","27,411","25,115","26,996","28,310","25,556","28,981","30,882","26,863","30,117","26,879","29,922","17,430","14,984","24,338"
Canyon de Chelly NM,"772,620","866,498","936,007","830,253","826,635","825,320","835,860","826,425","827,247","828,145","828,523","828,478","827,761","813,686","821,406","825,660","439,306","460,757","76,752","184,191","724,077"
Canyonlands NP,"367,078","386,986","371,706","393,381","392,537","417,560","436,715","436,241","435,908","473,773","452,952","462,242","542,431","634,607","776,218","742,271","739,449","733,996","493,914","911,594","530,078"
Cape Cod NS,"4,455,931","4,066,365","4,106,840","3,712,812","4,487,716","4,351,609","4,644,235","4,311,949","4,653,706","4,454,771","4,441,290","4,501,898","4,426,750","4,503,220","4,692,796","4,125,418","3,926,462","4,096,104","4,083,505","4,017,239","4,303,031"
Cape Hatteras NS,"2,923,894","2,660,535","2,208,189","2,260,628","2,125,005","2,237,378","2,146,392","2,282,543","2,193,292","1,960,711","2,302,040","2,214,565","2,153,350","2,274,635","2,411,711","2,433,703","2,591,056","2,606,632","2,648,522","3,206,056","2,392,042"
Cape Krusenstern NM,"3,266","3,587","4,330","4,664","2,598",745,"1,575","1,810","2,521","8,668","24,950","18,225",0,0,"15,000","15,000","15,087","16,226","11,369","12,162","8,089"
Cape Lookout NS,"610,337","704,480","720,216","692,857","803,155","860,602","486,899","601,954","530,181","508,116","480,294","416,568","430,927","400,413","458,000","399,357","408,399","455,526","488,331","562,461","550,954"
Capitol Reef NP,"525,646","535,441","549,708","550,255","511,511","554,907","604,811","617,208","662,661","668,834","673,345","663,670","786,514","941,029","1,064,904","1,150,165","1,227,627","1,226,519","981,038","1,405,353","795,057"
Capulin Volcano NM,"58,675","61,373","57,692","53,521","49,823","49,182","45,178","50,935","48,580","46,358","48,710","48,466","50,892","55,506","60,132","59,615","67,411","81,617","63,335","106,623","58,181"
Carl Sandburg Home NHS,"38,052","32,570","28,372","26,640","28,799","28,820","21,233","83,550","86,740","89,721","93,429","81,710","82,377","72,606","80,696","72,777","72,047","78,144","42,672","47,846","59,440"
Carlsbad Caverns NP,"476,259","457,631","419,599","413,786","407,367","409,560","400,381","432,639","428,524","365,000","381,058","388,566","397,309","445,720","466,773","520,026","465,912","440,691","183,835","349,244","412,494"
Carter G. Woodson Home NHS,,,,,,,,,,,,,,,,"1,884","1,954","2,381",548,0,"1,353"
Casa Grande Ruins NM,"85,375","87,687","93,933","97,214","88,295","76,854","73,763","76,350","77,347","72,308","68,631","65,106","63,698","72,606","75,752","75,583","62,995","68,379","44,269","49,261","73,770"
