Park Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
Frederick Law Olmsted NHS,"7,938","6,906","6,814","2,775","1,559","2,010","2,969","5,007","3,285","4,022","8,668","6,570","8,667","9,473","8,935","11,388","9,854","7,791","2,570","4,300","6,075"
Fredericksburg & Spotsylvania NMP,"464,890","443,634","443,030","534,636","499,324","469,920","473,841","906,175","899,936","908,836","982,324","880,251","873,328","891,917","969,895","919,311","926,464","906,800","838,835","736,416","748,488"
Friendship Hill NHS,"32,854","34,876","30,018","29,188","25,636","32,576","30,623","31,454","32,562","30,039","34,289","34,372","34,317","34,687","37,847","39,377","41,678","34,159","19,462","16,552","31,828"
Gates of the Arctic NP & PRES,"6,648","5,075","10,282","9,459","9,982","10,942","11,397","9,975","10,840","11,623","10,899","11,012","12,669","10,745","10,047","11,177","9,591","10,518","2,872","7,362","9,656"
Gateway Arch NP,"3,333,454","2,685,219","2,779,350","2,944,976","2,572,072","2,385,387","1,954,810","2,360,109","2,436,110","2,259,020","2,496,726","2,377,258","1,817,091","1,698,656","1,271,855","1,398,188","2,016,180","2,055,309","486,021","1,145,081","2,123,644"
Gateway NRA,"9,014,438","8,567,769","8,228,573","8,294,353","8,456,456","8,813,204","9,431,021","9,010,522","8,820,757","7,697,727","5,043,863","6,191,246","6,021,713","6,392,565","8,651,770","9,190,610","9,243,305","9,405,622","8,404,728","9,060,807","8,197,052"
Gauley River NRA,"188,613","148,793","155,183","128,796","116,854","118,169","112,262","113,185","107,223","109,780","115,283","135,309","117,354","105,374","115,888","118,733","97,778","119,282","109,378","167,794","125,052"
General Grant NMEM,"79,548","68,057","83,010","80,046","105,657","84,171","91,436","100,874","119,665","104,769","92,418","83,440","100,622","95,526","109,151","97,005","73,336","113,852","24,475","57,487","88,227"
George Rogers Clark NHP,"128,207","124,429","133,528","128,134","128,579","114,560","113,688","103,284","118,912","145,596","125,972","128,531","125,218","135,856","126,095","117,268","121,187","140,130","56,108","116,088","121,569"
George Washington Birthplace NM,"138,084","79,541","74,525","59,089","135,870","101,844","99,975","113,083","128,158","130,647","134,824","131,683","131,984","130,952","129,750","122,457","111,058","139,666","41,970","102,782","111,897"
George Washington Carver NM,"42,417","41,024","38,824","45,574","37,167","36,480","40,407","38,899","35,068","30,787","30,425","33,061","41,535","37,745","46,397","46,466","44,411","49,553","26,569","25,838","38,432"
George Washington MEM PKWY,"7,419,375","6,043,508","7,227,909","7,284,165","6,872,213","6,837,139","7,009,630","6,938,309","6,925,099","7,417,397","7,425,577","7,360,392","7,472,150","7,286,463","10,323,339","7,562,793","7,288,623","7,487,265","6,237,361","6,821,179","7,261,994"
Gettysburg NMP,"1,833,033","1,769,688","1,724,420","1,705,601","1,666,365","1,647,745","1,455,951","1,013,002","1,031,554","1,124,659","1,126,577","1,213,349","1,020,702","1,080,185","1,091,320","1,038,649","949,989","925,117","536,553","687,631","1,232,105"
Gila Cliff Dwellings NM,"45,585","47,869","45,349","40,058","40,510","41,690","38,987","43,016","32,652","25,317","28,637","27,825","31,135","36,518","41,519","78,872","79,108","66,614","31,645","45,428","43,417"
Glacier Bay NP & PRES,"408,143","366,319","353,686","359,829","413,382","438,211","418,911","438,361","444,530","431,986","454,337","500,590","500,727","551,353","520,171","547,057","597,915","672,087","5,748","89,768","425,656"
Glacier NP,"1,905,689","1,664,046","2,033,933","1,925,101","1,964,399","2,083,329","1,808,027","2,031,348","2,200,048","1,853,564","2,162,035","2,190,374","2,338,528","2,366,056","2,946,681","3,305,512","2,965,309","3,049,839","1,698,864","3,081,656","2,278,717"
Glen Canyon NRA,"2,106,896","1,876,984","1,841,845","1,908,726","1,885,378","1,894,114","1,947,507","1,960,345","2,124,467","2,270,817","2,061,328","1,991,924","2,368,452","2,495,093","3,239,525","4,574,940","4,219,441","4,330,563","2,553,392","3,144,318","2,539,803"
Golden Gate NRA,"13,961,267","13,854,750","13,270,547","13,602,629","13,486,824","14,397,313","14,554,750","15,036,372","14,271,503","14,567,487","14,540,338","14,289,121","15,004,420","14,888,537","15,638,777","14,981,897","15,223,697","15,002,227","12,400,045","13,712,614","14,334,256"
Golden Spike NHP,"47,242","45,230","46,189","40,156","45,381","45,088","39,968","45,334","43,561","43,933","42,551","40,704","44,125","59,147","60,027","67,811","60,130","108,154","53,106","52,910","51,537"
Governors Island NM,,"2,507","11,312","11,559","43,135","69,014","205,010","325,840","409,207","402,174","348,249","355,553","698,227","438,613","522,859","625,653","589,798","590,993","102,915","191,257","312,836"
Grand Canyon NP,"4,001,974","4,124,900","4,326,234","4,401,522","4,279,439","4,413,668","4,425,314","4,348,068","4,388,386","4,298,178","4,421,352","4,564,840","4,756,771","5,520,736","5,969,811","6,254,238","6,380,495","5,974,411","2,897,098","4,532,677","4,714,006"
Grand Portage NM,"69,486","63,289","62,815","62,842","53,443","68,856","77,323","76,025","113,996","97,440","93,156","88,598","88,877","91,751","95,862","96,051","94,137","94,985","66,426","83,708","81,953"
Grand Teton NP,"2,612,629","2,355,693","2,360,373","2,463,442","2,406,476","2,588,574","2,485,987","2,580,081","2,669,374","2,587,437","2,705,256","2,688,794","2,791,392","3,149,921","3,270,076","3,317,000","3,491,151","3,405,614","3,289,638","3,885,230","2,855,207"
Grant-Kohrs Ranch NHS,"20,273","18,521","20,399","17,553","19,795","17,494","16,633","20,099","22,075","20,293","17,095","18,848","20,565","22,139","23,176","24,072","26,676","25,043","15,328","24,476","20,528"
Great Basin NP,"85,777","87,020","79,879","77,741","78,524","81,364","69,235","84,974","88,870","91,451","94,850","92,893","107,526","116,123","144,846","168,028","153,094","131,802","120,248","144,875","104,956"
Great Sand Dunes NP & PRES,"234,776","251,375","267,204","279,589","258,660","285,121","273,903","289,955","283,284","280,058","254,674","242,841","271,774","299,513","388,308","486,935","442,905","527,546","461,532","602,613","334,128"
Great Smoky Mountains NP,"9,316,420","9,366,845","9,167,046","9,192,477","9,289,215","9,372,253","9,044,010","9,491,437","9,463,538","9,008,830","9,685,829","9,354,695","10,099,276","10,712,674","11,312,786","11,338,893","11,421,200","12,547,743","12,095,720","14,161,548","10,272,122"
Greenbelt Park,"144,289","367,427","200,000","200,629","195,038","198,237","164,103","188,043","270,661","190,427","145,552","142,742","132,688","135,260","137,900","141,856","85,260","128,702","28,319","23,893","161,051"
Guadalupe Mountains NP,"202,911","181,357","182,351","170,383","174,157","165,110","163,709","198,882","192,210","152,546","159,360","145,670","166,868","169,535","181,839","225,257","172,347","188,833","151,256","243,291","179,394"
Guilford Courthouse NMP,"762,412","530,756","277,484","497,193","486,162","445,752","354,077","290,368","285,444","346,617","313,374","541,581","173,261","222,602","321,796","348,991","236,016","223,900","186,020","211,689","352,775"
Gulf Islands NS,"4,561,862","4,939,771","4,241,477","1,689,400","1,986,816","2,034,294","2,054,201","4,132,674","4,283,747","5,501,872","4,973,462","4,837,965","4,455,240","3,976,883","4,771,309","3,952,941","4,229,968","5,600,240","4,012,129","5,458,816","4,084,753"
Hagerman Fossil Beds NM,"13,365","15,921","21,801","23,544","25,875","24,779","23,163","27,263","29,795","21,100","23,936","21,008","22,482","24,695","25,982","31,122","26,477","23,768","14,113","8,236","22,421"
Haleakala NP,"1,521,080","1,444,668","1,455,477","1,474,681","1,426,068","1,322,817","1,185,068","1,109,104","1,105,606","956,989","1,094,668","785,300","1,142,040","1,216,772","1,263,558","1,112,390","1,044,084","994,394","319,147","853,181","1,141,355"
Hamilton Grange NMEM,"13,435","13,378","12,902","15,287","6,369",0,690,150,0,"7,817","16,358","20,429","20,943","35,446","85,348","85,603","66,216","71,247","23,015","29,096","26,186"
Hampton NHS,"28,226","27,526","28,182","24,407","29,297","30,062","35,260","39,334","32,153","32,165","37,529","32,262","32,498","34,685","34,942","32,327","29,615","28,234","8,728","8,942","29,319"
Harpers Ferry NHP,"286,289","264,478","260,783","241,807","267,501","249,908","254,162","275,044","268,822","255,348","263,105","255,714","261,202","282,893","335,691","342,535","265,737","299,577","234,473","309,901","273,749"
Harry S Truman NHS,"44,472","41,757","36,953","37,968","34,479","31,092","30,848","28,384","27,670","28,924","31,316","28,977","29,364","32,825","34,616","45,435","32,878","30,746","9,446","12,148","31,515"
Hawaii Volcanoes NP,"1,110,998","1,122,524","1,307,391","1,661,196","1,612,246","1,467,779","1,270,538","1,233,105","1,304,667","1,352,123","1,483,928","1,583,209","1,693,005","1,832,660","1,887,580","2,016,702","1,116,891","1,368,376","589,775","1,262,747","1,413,872"
Herbert Hoover NHS,"191,812","183,364","182,545","152,214","134,980","118,298","142,656","162,886","142,512","134,249","128,812","128,919","139,086","127,154","152,382","144,619","138,087","125,688","56,270","69,843","137,819"
Home of Franklin D. Roosevelt NHS,"125,949","105,026","103,671","108,611","117,166","114,195","124,073","123,033","140,251","125,488","135,746","147,218","179,340","180,405","193,272","185,743","154,000","147,109","40,091","46,375","129,838"
Homestead NHP,"52,330","49,779","48,776","54,284","53,667","70,216","71,314","71,301","74,314","69,845","103,708","67,396","69,156","78,739","87,755","123,400","68,091","61,636","40,897","54,113","68,536"
Hopewell Culture NHP,"28,672","46,607","35,740","30,156","30,336","30,321","28,130","34,179","33,918","33,834","39,462","32,206","36,432","43,587","58,058","62,413","57,335","60,338","35,710","47,847","40,264"
Hopewell Furnace NHS,"60,733","53,694","50,246","49,980","49,239","56,013","49,328","53,186","55,750","44,873","52,870","46,138","48,105","51,252","54,167","49,306","46,407","49,861","34,288","49,248","50,234"
Horseshoe Bend NMP,"104,033","85,311","87,956","58,564","70,067","73,669","50,719","72,232","67,776","65,892","58,668","55,965","64,359","89,282","83,370","74,255","48,491","45,372","28,600","58,285","67,143"
Hot Springs NP,"1,440,227","1,561,311","1,418,735","1,340,160","1,273,456","1,300,152","1,238,147","1,284,707","1,311,807","1,396,354","1,302,505","1,325,719","1,424,484","1,418,162","1,544,300","1,561,616","1,506,887","1,467,153","1,348,215","2,162,884","1,431,349"
Hovenweep NM,"30,918","29,737","26,854","26,662","26,348","26,263","25,411","27,855","27,386","25,858","26,710","24,959","26,808","35,117","42,862","39,970","40,574","35,399","19,856","26,710","29,613"
Hubbell Trading Post NHS,"196,874","163,883","130,411","95,676","72,516","69,211","61,955","99,267","80,578","88,231","75,061","75,678","81,475","66,324","67,276","45,800","39,361","50,285","11,407","21,256","79,626"
Independence NHP,"2,972,104","2,712,277","4,087,918","3,951,073","3,532,245","3,705,538","4,076,638","3,967,694","3,751,007","3,572,770","3,594,549","3,553,070","3,648,050","4,311,582","5,067,510","4,790,758","4,576,456","4,532,459","907,090","1,495,686","3,640,324"
Indiana Dunes NP,"1,989,941","1,953,449","1,810,330","2,127,336","1,938,132","1,972,344","1,833,596","1,944,568","2,150,345","1,840,513","1,889,381","1,681,695","1,553,372","1,640,195","1,698,223","2,158,471","1,756,079","2,134,285","2,293,106","3,177,210","1,977,129"
Isle Royale NP,"19,463","17,800","17,276","17,398","17,070","15,973","14,038","14,653","15,793","15,892","16,663","16,274","14,560","18,684","24,966","28,196","25,798","26,410","6,493","25,844","18,462"
James A. Garfield NHS,"16,959","17,984","13,973","15,334","19,916","19,196","27,289","17,100","24,853","31,499","36,375","21,027","17,956","24,506","45,437","53,536","40,835","41,305","14,797","20,982","26,043"
Jean Lafitte NHP & PRES,"699,680","631,942","595,128","429,267","264,680","303,373","339,821","335,075","391,019","420,366","419,694","400,128","445,524","405,618","438,420","456,666","529,878","590,329","192,601","247,749","426,848"
Jewel Cave NM,"131,215","126,363","108,948","102,318","97,395","105,321","100,481","129,595","103,462","77,146","109,300","98,259","104,348","116,444","137,275","144,537","142,356","123,489","35,878","108,209","110,117"
Jimmy Carter NHP,"52,706","62,784","71,294","94,945","86,016","84,501","82,417","69,972","64,849","66,157","69,940","67,455","62,057","67,797","66,441","60,735","51,680","50,789","14,267","27,615","63,721"
"John D. Rockefeller, Jr. MEM PKWY","1,144,220","1,135,664","1,070,301","1,077,646","1,034,954","1,172,125","1,099,060","1,139,923","1,222,931","1,147,986","1,197,750","1,228,502","1,264,842","1,430,337","1,411,819","1,433,292","1,504,561","1,426,666","1,373,817","1,603,962","1,256,018"
John Day Fossil Beds NM,"114,392","108,181","117,613","124,937","119,656","124,704","112,578","130,925","135,151","148,002","148,152","156,285","183,420","196,277","210,110","214,557","204,621","197,091","88,571","148,276","149,175"
John F. Kennedy NHS,"9,417","9,330","11,073","7,616","6,490","8,896","10,090","16,333","17,466","18,466","22,642","17,273","26,273","18,485","25,467","30,399","24,077","24,838",451,0,"15,254"
John Muir NHS,"27,942","26,578","27,873","28,166","29,499","30,875","28,770","34,516","34,904","31,236","37,403","37,777","41,535","42,615","49,376","46,876","46,957","40,725","33,603","36,904","35,707"
Johnstown Flood NMEM,"136,135","105,361","115,020","111,987","112,239","126,066","135,308","114,350","100,799","105,906","123,081","121,923","141,354","163,431","154,931","171,376","146,269","183,143","87,805","148,654","130,257"
Joshua Tree NP,"1,178,376","1,283,346","1,243,659","1,375,111","1,256,421","1,298,979","1,392,446","1,304,471","1,434,976","1,396,237","1,396,117","1,383,340","1,589,904","2,025,756","2,505,286","2,853,619","2,942,382","2,988,547","2,399,542","3,064,400","1,815,646"
Kalaupapa NHP,"60,825","57,972","61,797","48,772","46,839","60,992","60,934","30,654","27,919","57,841","58,875","101,112","67,210","67,891","71,527","76,512","72,146","69,401","15,847","25,252","57,016"
Kaloko Honokohau NHP,"70,101","77,632","91,462","85,891","112,344","119,237","104,835","166,380","132,731","162,906","153,584","158,124","154,206","170,683","185,041","196,857","218,015","232,921","133,877","262,653","149,474"
Katahdin Woods and Waters NM,,,,,,,,,,,,,,,,,,,"41,432","39,485","40,459"
Katmai NP & PRES,"59,025","51,589","56,787","54,274","68,630","82,634","7,970","43,035","55,172","48,939","39,818","28,966","30,896","37,818","37,818","37,818","37,818","84,167","51,511","24,764","46,972"
Kenai Fjords NP,"251,799","243,719","244,232","258,297","251,630","284,604","272,190","218,358","297,596","346,852","281,279","283,502","270,666","296,697","346,534","303,598","321,596","356,601","115,882","411,782","282,871"
Kennesaw Mountain NBP,"1,359,114","1,422,380","1,221,752","1,005,510","1,316,129","1,329,441","1,415,917","1,372,228","1,512,191","1,748,436","1,935,909","1,924,076","2,119,013","2,174,870","2,360,256","2,593,725","2,549,164","2,621,050","2,356,401","1,800,823","1,806,919"
Keweenaw NHP,,,,,,,,,,,,,,,"14,612","16,479","20,416","20,535","2,130","12,457","14,438"
Kings Canyon NP,"545,420","555,987","525,035","594,893","552,766","580,129","574,870","609,296","598,205","566,810","591,033","567,544","502,268","468,106","607,479","692,932","699,023","632,110","415,077","562,918","572,095"
Kings Mountain NMP,"265,077","272,106","268,504","268,394","259,287","262,283","254,997","277,576","275,555","272,325","265,713","247,632","251,093","257,077","263,357","291,841","287,635","262,031","249,477","265,666","265,881"
Klondike Gold Rush NHP Alaska,"754,436","844,576","843,623","888,255","903,079","975,043","935,940","880,512","797,716","795,150","854,250","928,150","1,085,202","919,661","912,351","906,485","1,017,298","1,116,161",297,"33,228","819,571"
Klondike Gold Rush NHP Seattle,"66,182","64,097","66,786","70,783","53,107","54,971","58,389","54,219","65,870","64,898","60,198","61,942","62,022","60,372","69,435","84,759","82,646","109,799","13,003","35,977","62,973"
Knife River Indian Villages NHS,"31,662","36,605","40,166","31,079","24,235","22,558","24,798","29,390","21,721","16,025","16,010","14,476","10,750","11,377","13,328","11,644","11,682","10,354","5,263","11,223","19,717"
Kobuk Valley NP,"4,046","4,006","4,744","5,037","3,005",847,"1,565","1,879","3,164","11,485","29,550","16,875",0,0,"15,500","15,500","14,937","15,766","11,185","11,540","8,532"
Korean War Veterans Memorial,"2,675,205","2,535,768","3,610,796","3,214,467","3,248,757","3,433,663","3,654,976","3,117,046","3,072,716","3,073,430","3,267,124","3,209,279","3,767,287","4,077,835","4,084,298","4,155,947","4,107,520","3,841,633","1,363,714","2,986,751","3,324,911"
Lake Chelan NRA,"40,590","35,549","42,529","29,783","35,151","34,665","25,139","34,554","39,249","43,827","40,830","37,315","35,360","32,186","45,514","38,464","38,839","38,785","30,598","40,511","36,972"
Lake Clark NP & PRES,"4,325","4,505","4,906","5,408","5,320","5,549","6,802","9,711","9,931","5,158","11,639","13,000","16,100","17,818","21,102","22,755","14,479","17,157","4,948","18,278","10,945"
Lake Mead NRA,"7,550,284","7,915,581","7,819,984","7,692,438","7,777,753","7,622,139","7,601,863","7,668,689","7,080,758","6,396,682","6,285,439","6,344,714","6,942,873","7,298,465","7,175,891","7,882,339","7,578,958","7,499,049","8,016,510","7,603,474","7,387,694"
Lake Meredith NRA,"936,234","972,722","768,715","1,113,192","1,037,610","984,108","875,280","1,080,644","883,586","734,030","502,457","554,272","692,195","831,374","1,025,613","1,329,076","1,106,233","1,328,340","1,612,784","1,307,769","983,812"
Lake Roosevelt NRA,"1,444,751","1,356,331","1,279,051","1,272,119","1,281,586","1,450,438","1,337,024","1,382,663","1,324,074","1,523,474","1,781,972","1,254,409","1,180,898","1,170,843","1,253,571","1,304,403","1,276,722","1,358,818","1,519,403","1,336,629","1,354,459"
Lassen Volcanic NP,"388,149","404,384","379,667","365,535","388,741","395,057","377,361","365,639","384,570","351,269","407,653","427,409","432,977","468,092","536,068","507,256","499,435","517,039","542,274","359,635","424,911"
Lava Beds NM,"116,445","119,515","106,940","107,475","104,490","102,629","120,076","129,639","130,765","124,113","181,429","105,395","138,499","108,687","127,699","135,286","127,771","109,630","111,258","103,946","120,584"
LBJ Memorial Grove on the Potomac,"420,089","474,238","482,250","454,716","470,683","453,297","411,164","333,368","230,694","239,058","371,063","294,979","254,167","232,882","260,234","277,403","261,225","244,246","211,228","232,875","330,493"
Lewis & Clark NHP,"231,907","255,853","219,192","245,266","218,816","234,380","230,057","225,846","218,553","191,867","201,704","217,022","244,921","270,410","281,576","293,356","286,349","270,993","161,230","274,230","238,676"
Lincoln Boyhood NMEM,"127,225","126,924","129,392","147,443","123,781","128,596","147,123","182,172","126,228","108,420","133,550","125,069","99,795","111,711","125,562","143,651","133,850","138,714","110,692","114,353","129,213"
Lincoln Home NHS,"390,076","383,025","361,349","419,552","388,887","358,809","335,473","464,074","354,125","296,214","295,464","209,405","218,132","233,299","239,719","232,265","197,717","197,816","27,744","89,964","284,655"
Lincoln Memorial,"3,551,973","3,272,596","3,988,650","3,638,806","3,810,347","4,214,167","4,678,861","5,255,570","6,042,315","5,971,220","6,191,361","6,546,518","7,139,072","7,941,771","7,915,934","7,956,117","7,804,683","7,808,182","2,980,075","5,792,331","5,625,027"
Little Bighorn Battlefield NM,"425,995","422,566","347,056","328,668","298,518","290,744","282,233","302,811","320,959","312,168","346,327","277,883","281,436","317,782","332,328","296,128","272,591","241,304","97,461","211,296","300,313"
Little River Canyon NPRES,,"183,896","174,439","201,442","211,047","264,189","197,693","189,251","192,576","225,549","201,109","185,477","224,931","248,135","462,700","367,058","441,177","649,986","802,375","862,606","330,823"
Little Rock Central High School NHS,"22,940","23,348","28,836","44,293","35,264","56,938","42,302","60,103","49,740","66,106","63,938","114,144","115,908","125,956","129,540","170,413","149,098","168,918","68,497","84,839","81,056"
Longfellow House Washington's HQ NHS,"20,319","43,329","30,380","36,660","43,108","49,246","59,827","39,065","45,684","46,596","52,234","40,554","46,371","50,784","49,697","51,606","60,527","55,012","30,014","35,895","44,345"
Lowell NHP,"742,016","684,856","677,639","722,458","632,234","519,706","574,410","565,960","540,475","520,452","537,551","517,763","514,524","531,055","541,825","562,498","507,276","481,536","53,954","49,721","523,895"
Lyndon B. Johnson NHP,"95,188","85,339","80,730","75,932","78,792","85,818","93,204","98,218","112,680","100,056","110,791","82,369","88,427","124,979","140,303","146,119","121,499","111,972","75,322","133,914","102,083"
Maggie L. Walker NHS,"12,323","11,517","10,913","7,968","7,803","8,026","7,367","9,853","12,331","10,779","8,276","7,013","9,045","7,589","9,589","10,738","10,961","9,602","1,849","2,568","8,806"
Mammoth Cave NP,"1,891,307","1,869,137","1,888,267","1,878,006","597,934","487,305","446,174","503,856","497,225","483,319","508,054","494,541","522,628","566,895","586,514","587,853","533,206","551,590","290,392","515,774","784,999"
Manassas NBP,"779,147","759,953","722,132","715,622","674,851","584,926","594,992","578,383","612,490","659,740","600,354","538,888","514,140","502,045","534,835","605,577","542,004","510,427","558,036","516,604","605,257"
Manhattan Project NHP,,,,,,,,,,,,,,,"104,715","89,599","69,543","79,870","11,392","26,063","63,530"
Manzanar NHS,"52,823","61,917","75,449","78,172","88,200","81,344","78,468","89,190","76,592","79,587","72,831","77,511","77,633","95,327","105,307","114,461","104,081","97,380","65,289","117,113","84,434"
Marsh-Billings-Rockefeller NHP,"31,940","33,037","29,205","28,660","22,484","32,179","37,121","31,129","31,209","29,049","32,403","34,112","39,086","35,003","55,716","46,523","63,886","45,979","23,538","47,997","36,513"
"Martin Luther King, Jr. Memorial",,,,,,,,,,"1,490,358","3,738,336","3,205,654","3,199,136","3,530,401","3,638,208","3,651,093","3,567,434","3,667,562","1,083,671","2,032,470","2,982,211"
"Martin Luther King, Jr. NHP","657,316","666,195","580,307","624,848","791,617","652,867","658,873","650,343","658,452","666,482","707,514","704,168","766,030","673,728","467,715","584,435","641,801","761,650","198,158","28,034","607,027"
Martin Van Buren NHS,"16,036","14,594","13,686","10,445","24,735","19,678","21,216","23,216","21,055","19,287","22,062","16,229","19,187","18,547","22,100","22,023","18,642","20,623","11,480","9,823","18,233"
Mary McLeod Bethune Council House NHS,"2,554","2,467","6,329","8,570","16,858","17,324","17,635","21,811","19,520","18,142","6,646","5,686","9,295","8,249","7,149",277,109,"3,788",578,0,"8,649"
Medgar and Myrlie Evers Home NM,,,,,,,,,,,,,,,,,,,,"1,034","1,034"
Mesa Verde NP,"406,385","438,590","446,811","498,333","557,248","541,102","551,446","550,377","559,712","572,329","488,860","460,237","501,563","547,325","583,527","613,788","563,420","556,203","287,477","548,477","513,661"
Minidoka NHS,,,,,,,,,,,,,,,,"11,622","11,567","13,647","6,747","15,040","11,725"
Minute Man NHP,"1,179,317","1,176,283","1,072,149","1,027,033","1,084,041","1,107,254","1,067,578","1,096,024","1,073,748","1,002,833","1,001,207","947,894","1,056,549","964,330","1,049,414","1,023,921","1,014,803","1,017,326","1,083,973","983,201","1,051,444"
Minuteman Missile NHS,,,"4,924","7,800","16,754","24,566","30,615","36,777","42,348","59,389","75,654","76,261","62,058","100,488","133,895","143,715","139,273","125,776","98,908","140,280","73,305"
Mississippi NRRA,,,,,,,,,,"99,398","106,733","100,111","85,637","127,635","256,944","436,734","417,022","374,682","204,707","228,460","221,642"
Missouri NRR,,,"48,149","63,557","167,960","145,767","162,086","186,313","167,301","179,983","167,776","169,698","134,760","145,004","148,210","119,816","128,657","129,280","111,602","140,814","139,819"
Mojave NPRES,"492,785","615,269","546,312","632,521","537,250","582,675","618,285","528,865","600,897","536,006","542,527","549,599","554,560","589,155","585,635","716,604","787,404","841,516","608,633","866,635","616,657"
Monocacy NB,"15,592","14,566","18,145","17,985","18,579","22,125","31,276","34,553","33,313","36,674","47,249","37,647","56,187","64,596","87,547","113,820","84,901","144,969","155,116","137,300","58,607"
Montezuma Castle NM,"643,645","637,024","644,452","622,320","597,762","597,611","603,755","601,465","578,554","573,731","455,305","389,091","407,017","416,635","392,168","398,174","390,151","376,254","242,028","418,147","499,264"
Moores Creek NB,"86,782","67,272","60,676","48,406","44,378","55,039","44,820","68,864","51,326","58,118","79,345","72,330","87,774","89,944","83,889","86,747","58,531","77,006","58,786","60,727","67,038"
Morristown NHP,"336,509","328,057","310,041","241,897","277,748","296,651","277,203","298,060","278,392","222,395","294,606","304,941","264,363","218,959","252,514","268,295","279,393","271,330","262,361","332,036","280,788"
Mount Rainier NP,"1,310,390","1,262,351","1,217,750","1,173,897","1,113,601","1,047,685","1,163,227","1,151,654","1,191,754","1,038,229","1,049,178","1,148,552","1,264,259","1,237,231","1,356,913","1,415,867","1,518,491","1,501,621","1,160,754","1,670,063","1,249,673"
Mount Rushmore NMEM,"2,162,570","2,217,894","2,037,820","2,037,861","1,989,771","1,856,118","1,789,328","2,260,192","2,331,237","2,081,722","2,185,447","2,162,998","2,144,808","2,434,297","2,431,231","2,437,800","2,311,273","1,963,540","2,074,986","2,525,868","2,171,838"
Muir Woods NM,"708,091","719,350","778,368","775,941","741,768","811,033","838,292","779,880","834,356","897,131","972,331","954,125","1,049,400","1,099,923","1,123,121","1,062,099","957,932","812,073","324,232","657,722","844,858"
Natchez NHP,"272,465","285,615","239,903","232,023","272,091","207,441","232,470","218,126","206,870","206,624","184,551","191,095","215,257","204,332","204,120","233,339","234,786","182,123","57,646","56,264","206,857"
Natchez Trace PKWY,"5,643,170","5,555,984","5,389,227","5,482,282","5,713,583","5,777,666","5,747,235","5,934,363","5,910,950","5,765,343","5,560,668","6,012,740","5,846,474","5,785,812","5,891,315","6,326,062","6,362,439","6,296,041","6,124,808","6,401,346","5,876,375"
National Capital Parks Central,"1,724,138","1,401,221","1,378,172","1,660,876","3,803,244","2,513,639","2,559,653","3,678,876","1,363,389","1,240,717","858,700","1,712,858","1,999,232","1,833,085","1,813,222","1,932,762","1,800,329","1,770,794","665,650","659,317","1,818,494"
National Capital Parks East,"1,223,863","1,372,109","1,998,903","1,390,443","1,310,321","1,311,087","1,296,990","1,272,212","1,181,960","1,167,393","923,054","1,091,661","1,311,995","1,220,403","1,224,671","1,366,142","1,447,273","1,210,641","893,421","1,215,836","1,271,519"
National Park of American Samoa,"1,938",0,,,"1,239","6,774","3,683","3,242","3,006","8,716","10,440","17,919","13,953","13,892","28,892","69,468","28,626","60,006","4,819","8,495","15,839"
Natural Bridges NM,"98,281","98,874","96,106","121,247","91,288","88,316","91,838","92,023","95,676","91,184","89,011","82,330","87,119","94,797","101,843","107,443","103,118","88,090","52,542","73,484","92,231"
Navajo NM,"60,282","76,620","65,246","54,688","71,595","69,445","74,143","77,901","90,696","87,388","58,219","54,168","65,778","71,370","65,705","68,785","61,195","49,983","3,985","14,834","62,101"
New Bedford Whaling NHP,"344,563","332,538","343,468","332,935","343,774","327,047","281,512","279,803","277,681","273,862","269,885","276,374","272,731","167,790","145,500","166,894","186,937","143,427","18,243","10,487","239,773"
New Orleans Jazz NHP,"50,019","43,926","44,226","40,242","34,375","49,053","66,726","80,828","80,195","130,393","177,909","198,363","36,017","58,188","35,514","40,814","54,483","41,049","9,640","25,750","64,886"
New River Gorge NP & PRES,"1,215,875","1,111,164","1,151,782","1,045,814","1,124,688","1,178,012","1,212,854","1,144,318","1,151,213","1,071,088","1,128,195","1,071,823","1,124,799","1,178,753","1,197,931","1,168,658","1,232,627","1,195,721","1,054,374","1,682,720","1,172,120"
Nez Perce NHP,"205,891","199,282","187,210","152,396","155,802","225,568","207,250","176,238","193,000","286,259","233,093","297,973","221,439","224,967","239,908","238,424","307,645","216,068","301,473","309,165","228,953"
Nicodemus NHS,"31,664","51,310","56,803","28,065","21,441","2,507","2,434","2,978","3,448","2,681","3,505","3,241","3,374","3,306","3,552","2,916","2,738","3,540",262,"4,629","11,720"
Ninety Six NHS,"28,801","31,679","34,622","28,734","33,786","33,595","57,304","50,689","63,747","70,099","73,044","69,624","65,688","80,223","118,002","113,103","95,550","97,295","95,418","92,976","66,699"
Niobrara NSR,,,"54,385","58,750","60,397","79,942","70,270","68,058","69,705","65,785","65,999","71,876","53,443","68,110","73,813","80,806","61,639","60,812","102,766","90,670","69,846"
Noatak NPRES,"3,586","3,674","8,393","7,010","3,272","1,384","2,147","2,474","3,257","11,722","31,000","16,907",0,0,"17,000","17,000","16,387","17,216","12,533","12,891","9,393"
North Cascades NP,"20,691","20,724","16,912","18,686","19,167","19,534","18,725","26,972","24,659","19,208","26,935","21,623","23,865","20,677","28,646","30,326","30,085","38,208","30,885","17,855","23,719"
