NUMBER,UNIT_NAME,STATE,NPS REGION,NPCA REGION,COMMON NAME,SPECIES,TAXA,STATUS
1,Abraham Lincoln Birthplace National Historical Park,KY,Southeast,Southeast,Gray bat,Myotis grisescens,Mammals,Endangered
2,Acadia National Park,ME,Northeast,Northeast,Northern Long-Eared Bat,Myotis septentrionalis,Mammals,Threatened
3,Acadia National Park,ME,Northeast,Northeast,Green sea turtle,Chelonia mydas,Reptiles,Endangered; Threatened
4,Acadia National Park,ME,Northeast,Northeast,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
5,Acadia National Park,ME,Northeast,Northeast,Finback whale,Balaenoptera physalus,Mammals,Endangered
6,Agate Fossil Beds National Monument,NE,Midwest,Midwest,Whooping crane,Grus americana,Birds,Endangered; Experimental
7,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian monk seal,Monachus schauinslandi,Mammals,Endangered
8,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,`O`u (honeycreeper),Psittirostra psittacea,Birds,Endangered
9,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,akiapolaau,Hemignathus wilsoni,Birds,Endangered
10,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Band-rumped storm-petrel,Oceanodroma castro,Birds,Endangered
11,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaii akepa,Loxops coccineus,Birds,Endangered
12,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaii creeper,Oreomystis mana,Birds,Endangered
13,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian (='alala) Crow,Corvus hawaiiensis,Birds,Endangered
14,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian (=koloa) Duck,Anas wyvilliana,Birds,Endangered
15,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian goose,Branta (=Nesochen) sandvicensis,Birds,Endangered
16,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian petrel,Pterodroma sandwichensis,Birds,Endangered
17,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian stilt,Himantopus mexicanus knudseni,Birds,Endangered
18,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Newell's Townsend's shearwater,Puffinus auricularis newelli,Birds,Threatened
19,Alibates Flint Quarries National Monument,TX,Intermountain,Texas,Arkansas River shiner,Notropis girardi,Fishes,Threatened
20,Alibates Flint Quarries National Monument,TX,Intermountain,Texas,Whooping crane,Grus americana,Birds,Endangered; Experimental
21,Amistad National Recreation Area,TX,Intermountain,Texas,Devils River minnow,Dionda diaboli,Fishes,Threatened
22,Amistad National Recreation Area,TX,Intermountain,Texas,Golden-cheeked warbler (=wood),Dendroica chrysoparia,Birds,Endangered
23,Amistad National Recreation Area,TX,Intermountain,Texas,Texas Hornshell,Popenaias popeii,Clams and Mussels,Endangered
24,Amistad National Recreation Area,TX,Intermountain,Texas,Texas snowbells,Styrax texanus,Flowering Plants,Endangered
25,Amistad National Recreation Area,TX,Intermountain,Texas,Tobusch fishhook cactus,Sclerocactus brevihamatus ssp. tobuschii,Flowering Plants,Threatened
26,Andersonville National Historic Site,GA,Southeast,Southeast,Gopher tortoise,Gopherus polyphemus,Reptiles,Threatened; Candidate
27,Andersonville National Historic Site,GA,Southeast,Southeast,Gulf moccasinshell,Medionidus penicillatus,Clams and Mussels,Endangered
28,Andersonville National Historic Site,GA,Southeast,Southeast,Canby's dropwort,Oxypolis canbyi,Flowering Plants,Endangered
29,Aniakchak National Monument & Preserve,AK,Alaska,Alaska,Northern Sea Otter,Enhydra lutris kenyoni,Mammals,Threatened
30,Aniakchak National Monument & Preserve,AK,Alaska,Alaska,Steller sea lion,Eumetopias jubatus,Mammals,Endangered
31,Aniakchak National Monument & Preserve,AK,Alaska,Alaska,Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Birds,Endangered
32,Aniakchak National Monument & Preserve,AK,Alaska,Alaska,Steller's Eider,Polysticta stelleri,Birds,Threatened
33,Apostle Islands National Lakeshore,WI,Midwest,Midwest,Piping Plover,Charadrius melodus,Birds,Endangered; Threatened
34,Appalachian National Scenic Trail,ME,Northeast,Northeast,bog turtle,Clemmys muhlenbergii,Reptiles,Threatened; Similarity of Appearance (Threatened)
35,Appalachian National Scenic Trail,ME,Northeast,Northeast,Blue Ridge goldenrod,Solidago spithamaea,Flowering Plants,Threatened
36,Appalachian National Scenic Trail,ME,Northeast,Northeast,Eastern prairie fringed orchid,Platanthera leucophaea,Flowering Plants,Threatened
37,Appalachian National Scenic Trail,ME,Northeast,Northeast,Rusty patched bumble bee,Bombus affinis,Insects,Endangered
38,Appalachian National Scenic Trail,ME,Northeast,Northeast,Smooth coneflower,Echinacea laevigata,Flowering Plants,Endangered
39,Appalachian National Scenic Trail,ME,Northeast,Northeast,Virginia spiraea,Spiraea virginiana,Flowering Plants,Threatened
40,Appalachian National Scenic Trail,ME,Northeast,Northeast,White fringeless orchid,Platanthera integrilabia,Flowering Plants,Threatened
41,Appalachian National Scenic Trail,ME,Northeast,Northeast,Gray bat,Myotis grisescens,Mammals,Endangered
42,Appalachian National Scenic Trail,ME,Northeast,Northeast,Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Mammals,Endangered
43,Appalachian National Scenic Trail,ME,Northeast,Northeast,Roan Mountain bluet,Hedyotis purpurea var. montana,Flowering Plants,Threatened
44,Appalachian National Scenic Trail,"CT, GA, MA, MD, ME, NC, NH, NJ, NY, PA, TN, VA, VT, WV","Northeast, Southeast ",Northeast,Canada Lynx,Lynx canadensis,Mammals,Threatened
45,Appalachian National Scenic Trail,"CT, GA, MA, MD, ME, NC, NH, NJ, NY, PA, TN, VA, VT, WV","Northeast, Southeast ",Northeast,Indiana bat,Myotis sodalis,Mammals,Endangered
46,Appalachian National Scenic Trail,"CT, GA, MA, MD, ME, NC, NH, NJ, NY, PA, TN, VA, VT, WV","Northeast, Southeast ",Northeast,Spruce-fir moss spider,Microhexura montivaga,Arachnids,Endangered
47,Appalachian National Scenic Trail,"CT, GA, MA, MD, ME, NC, NH, NJ, NY, PA, TN, VA, VT, WV",Northeast,Northeast,Northern Long-Eared Bat,Myotis septentrionalis,Mammals,Threatened
48,Appomattox Court House National Historical Park,VA,Northeast,Mid-Atlantic,Gray bat,Myotis grisescens,Mammals,Endangered
49,Arches National Park,UT,Intermountain,Southwest,Colorado pikeminnow (=squawfish),Ptychocheilus lucius,Fishes,Endangered
50,Arches National Park,UT,Intermountain,Southwest,Mexican spotted owl,Strix occidentalis lucida,Birds,Threatened
51,Arches National Park,UT,Intermountain,Southwest,Razorback sucker,Xyrauchen texanus,Fishes,Endangered
52,Assateague Island National Seashore,"MD, VA",Northeast,Mid-Atlantic,Piping Plover,Charadrius melodus,Birds,Endangered; Threatened
53,Assateague Island National Seashore,MD,Northeast,Mid-Atlantic,Cumberland monkeyface (pearlymussel),Quadrula intermedia,Clams and Mussels,Endangered; Experimental
54,Assateague Island National Seashore,MD,Northeast,Mid-Atlantic,Finback whale,Balaenoptera physalus,Mammals,Endangered
55,Assateague Island National Seashore,MD,Northeast,Mid-Atlantic,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
56,Assateague Island National Seashore,MD,Northeast,Mid-Atlantic,Shiny pigtoe,Fusconaia cor,Clams and Mussels,Endangered; Experimental
57,Aztec Ruins National Monument,NM,Intermountain,Southwest,Knowlton's cactus,Pediocactus knowltonii,Flowering Plants,Endangered
58,Badlands National Park,SD,Midwest,Midwest,Black-footed ferret,Mustela nigripes,Mammals,Endangered; Experimental
59,Badlands National Park,SD,Midwest,Midwest,Whooping crane,Grus americana,Birds,Endangered; Experimental
60,Badlands National Park,SD,Midwest,Midwest,Northern Long-Eared Bat,Myotis septentrionalis,Mammals,Threatened 
61,Bandelier National Monument,NM,Intermountain,Southwest,Jemez Mountains salamander,Plethodon neomexicanus,Amphibians,Endangered
62,Bandelier National Monument,NM,Intermountain,Southwest,Mexican spotted owl,Strix occidentalis lucida,Birds,Threatened
63,Bering Land Bridge National Preserve,AK,Alaska,Alaska,Beluga whale,Delphinapterus leucas,Mammals,Endangered
64,Bering Land Bridge National Preserve,AK,Alaska,Alaska,Polar bear,Ursus maritimus,Mammals,Threatened
65,Bering Land Bridge National Preserve,AK,Alaska,Alaska,Spectacled eider,Somateria fischeri,Birds,Threatened
66,Bering Land Bridge National Preserve,AK,Alaska,Alaska,Steller's Eider,Polysticta stelleri,Birds,Threatened
67,Bering Land Bridge National Preserve,AK,Alaska,Alaska,Bowhead whale,Balaena mysticetus,Mammals,Endangered
68,Bering Land Bridge National Preserve,AK,Alaska,Alaska,Finback whale,Balaenoptera physalus,Mammals,Endangered
69,Big Bend National Park,TX,Intermountain,Texas,Big Bend gambusia,Gambusia gaigei,Fishes,Endangered
70,Big Bend National Park,TX,Intermountain,Texas,Bunched cory cactus,Coryphantha ramillosa,Flowering Plants,Threatened
71,Big Bend National Park,TX,Intermountain,Texas,Chisos Mountain hedgehog Cactus,Echinocereus chisoensis var. chisoensis,Flowering Plants,Threatened
72,Big Bend National Park,TX,Intermountain,Texas,Davis' green pitaya,Echinocereus viridiflorus var. davisii,Flowering Plants,Endangered
73,Big Bend National Park,TX,Intermountain,Texas,Guadalupe fescue,Festuca ligulata,Flowering Plants,Endangered
74,Big Bend National Park,TX,Intermountain,Texas,Hinckley oak,Quercus hinckleyi,Flowering Plants,Threatened
75,Big Bend National Park,TX,Intermountain,Texas,Lloyd's Mariposa cactus,Echinomastus mariposensis,Flowering Plants,Threatened
76,Big Bend National Park,TX,Intermountain,Texas,Mexican long-nosed bat,Leptonycteris nivalis,Mammals,Endangered
77,Big Bend National Park,TX,Intermountain,Texas,Mexican spotted owl,Strix occidentalis lucida,Birds,Threatened
78,Big Bend National Park,TX,Intermountain,Texas,Nellie cory cactus,Coryphantha minima,Flowering Plants,Endangered
79,Big Bend National Park,TX,Intermountain,Texas,Rio Grande Silvery Minnow ,Hybognathus amarus,Fishes,Endangered; Experimental
80,Big Bend National Park,TX,Intermountain,Texas,Terlingua Creek cat's-eye,Cryptantha crassipes,Flowering Plants,Endangered
81,Big Bend National Park,TX,Intermountain,Texas,Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened
82,Big Bend National Park,TX,Intermountain,Texas,Northern Aplomado Falcon,Falco femoralis septentrionalis,Birds,Endangered; Experimental
83,Big Bend National Park,TX,Intermountain,Texas,Texas Hornshell,Popenaias popeii,Clams and Mussels,Endangered
84,Big Cypress National Preserve,FL,Southeast,Sun Coast,Everglade snail kite,Rostrhamus sociabilis plumbeus,Birds,Endangered
85,Big Cypress National Preserve,FL,Southeast,Sun Coast,Florida panther,Puma (=Felis) concolor coryi,Mammals,Endangered
86,Big Cypress National Preserve,FL,Southeast,Sun Coast,Red-cockaded woodpecker,Picoides borealis,Birds,Endangered
87,Big Cypress National Preserve,FL,Southeast,Sun Coast,West Indian Manatee,Trichechus manatus,Mammals,Threatened
88,Big Cypress National Preserve,FL,Southeast,Sun Coast,Wood stork,Mycteria americana,Birds,Threatened
89,Big Cypress National Preserve,FL,Southeast,Sun Coast,American chaffseed,Schwalbea americana,Flowering Plants,Endangered
90,Big Cypress National Preserve,FL,Southeast,Sun Coast,Blodgett's silverbush,Argythamnia blodgettii,Flowering Plants,Threatened
91,Big Cypress National Preserve,FL,Southeast,Sun Coast,Everglades bully,Sideroxylon reclinatum ssp. austrofloridense,Flowering Plants,Threatened
92,Big Cypress National Preserve,FL,Southeast,Sun Coast,Florida bristle fern,Trichomanes punctatum ssp. floridanum,Flowering Plants,Endangered
93,Big Cypress National Preserve,FL,Southeast,Sun Coast,Florida prairie-clover,Dalea carthagenensis floridana,Flowering Plants,Endangered
94,Big Cypress National Preserve,FL,Southeast,Sun Coast,Gopher tortoise,Gopherus polyphemus,Reptiles,Threatened; Candidate
95,Big Cypress National Preserve,FL,Southeast,Sun Coast,Pineland sandmat,Chamaesyce deltoidea pinetorum,Flowering Plants,Threatened
96,Big Cypress National Preserve,FL,Southeast,Sun Coast,Florida scrub-jay,Aphelocoma coerulescens,Birds,Threatened
97,Big Cypress National Preserve,FL,Southeast,Sun Coast,Gray bat,Myotis grisescens,Mammals,Endangered
98,Big Cypress National Preserve,FL,Southeast,Sun Coast,Kirtland's Warbler,Setophaga kirtlandii (= Dendroica kirtlandii),Birds,Endangered
99,Big Cypress National Preserve,FL,Southeast,Sun Coast,Whooping crane,Grus americana,Birds,Endangered; Experimental
100,Big Cypress National Preserve,FL,Southeast,Sun Coast,Beach jacquemontia,Jacquemontia reclinata,Flowering Plants,Endangered
101,Big Cypress National Preserve,FL,Southeast,Sun Coast,Big Pine partridge pea,Chamaecrista lineata keyensis,Flowering Plants,Endangered
102,Big Cypress National Preserve,FL,Southeast,Sun Coast,Carter's small-flowered flax,Linum carteri carteri,Flowering Plants,Endangered
103,Big Cypress National Preserve,FL,Southeast,Sun Coast,Florida brickell-bush,Brickellia mosieri,Flowering Plants,Endangered
104,Big Cypress National Preserve,FL,Southeast,Sun Coast,Florida pineland crabgrass,Digitaria pauciflora,Flowering Plants,Threatened
105,Big Cypress National Preserve,FL,Southeast,Sun Coast,Johnson's seagrass,Halophila johnsonii,Flowering Plants,Threatened
106,Big Cypress National Preserve,FL,Southeast,Sun Coast,Key tree cactus,Pilosocereus robinii,Flowering Plants,Endangered
107,Big Cypress National Preserve,FL,Southeast,Sun Coast,Okeechobee gourd,Cucurbita okeechobeensis ssp. okeechobeensis,Flowering Plants,Endangered
108,Big Cypress National Preserve,FL,Southeast,Sun Coast,Sand flax,Linum arenicola,Flowering Plants,Endangered
109,Big Cypress National Preserve,FL,Southeast,Sun Coast,Wedge spurge,Chamaesyce deltoidea serpyllum,Flowering Plants,Endangered
110,Big Cypress National Preserve,FL,Southeast,Sun Coast,Audubon's crested caracara,Polyborus plancus audubonii,Birds,Threatened
111,Big Cypress National Preserve,FL,Southeast,Sun Coast,Florida grasshopper sparrow,Ammodramus savannarum floridanus,Birds,Endangered
112,Big Cypress National Preserve,FL,Southeast,Sun Coast,Lower Keys marsh rabbit,Sylvilagus palustris hefneri,Mammals,Endangered
ile,Big Cypress National Preserve,FL,Southeast,Sun Coast,Rice rat,Oryzomys palustris natator,Mammals,Endangered
114,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Blackside dace,Phoxinus cumberlandensis,Fishes,Threatened
115,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Cumberland bean (pearlymussel),Villosa trabalis,Clams and Mussels,Endangered
116,Big South Fork National River and Recreation Area,TN,Southeast,Southeast,Cumberland darter,Etheostoma susanae,Fishes,Endangered
117,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Cumberland rosemary,Conradina verticillata,Flowering Plants,Threatened
118,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Cumberland sandwort,Arenaria cumberlandensis,Flowering Plants,Endangered
119,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Cumberland elktoe,Alasmidonta atropurpurea,Clams and Mussels,Endangered
120,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Cumberlandian combshell,Epioblasma brevidens,Clams and Mussels,Endangered
121,Big South Fork National River and Recreation Area,TN,Southeast,Southeast,Dromedary pearlymussel,Dromus dromas,Clams and Mussels,Endangered
122,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Duskytail darter,Etheostoma percnurum,Fishes,Endangered
123,Big South Fork National River and Recreation Area,TN,Southeast,Southeast,Fluted kidneyshell,Ptychobranchus subtentum,Clams and Mussels,Endangered
124,Big South Fork National River and Recreation Area,TN,Southeast,Southeast,Laurel dace,Chrosomus saylori,Fishes,Endangered
125,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Littlewing pearlymussel,Pegias fabula,Clams and Mussels,Endangered
126,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Oyster mussel,Epioblasma capsaeformis,Clams and Mussels,Endangered
127,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Palezone shiner,Notropis albizonatus,Fishes,Endangered
128,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Purple bean,Villosa perpurpurea,Clams and Mussels,Endangered
129,Big South Fork National River and Recreation Area,TN,Southeast,Southeast,Purple Cat's paw (=Purple Cat's paw pearlymussel),Epioblasma obliquata obliquata,Clams and Mussels,Endangered; Experimental
130,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Rabbitsfoot,Quadrula cylindrica strigillata,Clams and Mussels,Threatened
131,Big South Fork National River and Recreation Area,TN,Southeast,Southeast,Virginia spiraea,Spiraea virginiana,Flowering Plants,Threatened
132,Big South Fork National River and Recreation Area,TN,Southeast,Southeast,White fringeless orchid,Platanthera integrilabia,Flowering Plants,Threatened
133,Big South Fork National River and Recreation Area,TN,Southeast,Southeast,Snuffbox mussel,Epioblasma triquetra,Clams and Mussels,Endangered
134,Big South Fork National River and Recreation Area,TN,Southeast,Southeast,Gray bat,Myotis grisescens,Mammals,Endangered
135,Big South Fork National River and Recreation Area,TN,Southeast,Southeast,Spectaclecase (mussel),Cumberlandia monodonta,Clams and Mussels,Endangered
136,Big South Fork National River and Recreation Area,"KY, TN",Southeast,Southeast,Tan riffleshell,Epioblasma florentina walkeri (=E. walkeri),Clams and Mussels,Endangered
137,Big Thicket National Preserve,TX,Intermountain,Texas,Navasota ladies'-tresses,Spiranthes parksii,Flowering Plants,Endangered
138,Big Thicket National Preserve,TX,Intermountain,Texas,Texas trailing phlox,Phlox nivalis ssp. texensis,Flowering Plants,Endangered
139,Biscayne National Park,FL,Southeast,Sun Coast,Cape Sable Thoroughwort,Chromolaena frustrata,Flowering Plants,Endangered
140,Biscayne National Park,FL,Southeast,Sun Coast,Elkhorn coral,Acropora palmata,Corals,Threatened
141,Biscayne National Park,FL,Southeast,Sun Coast,Florida semaphore Cactus,Consolea corallicola,Flowering Plants,Endangered
142,Biscayne National Park,FL,Southeast,Sun Coast,Key Largo cotton mouse,Peromyscus gossypinus allapaticola,Mammals,Endangered
143,Biscayne National Park,FL,Southeast,Sun Coast,Key Largo woodrat,Neotoma floridana smalli,Mammals,Endangered
144,Biscayne National Park,FL,Southeast,Sun Coast,Miami Blue Butterfly,Cyclargus (=Hemiargus) thomasi bethunebakeri,Insects,Endangered
145,Biscayne National Park,FL,Southeast,Sun Coast,Schaus swallowtail butterfly,Heraclides aristodemus ponceanus,Insects,Endangered
146,Biscayne National Park,FL,Southeast,Sun Coast,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
147,Biscayne National Park,FL,Southeast,Sun Coast,Smalltooth sawfish,Pristis pectinata,Fishes,Endangered
148,Biscayne National Park,FL,Southeast,Sun Coast,West Indian Manatee,Trichechus manatus,Mammals,Threatened
149,Biscayne National Park,FL,Southeast,Sun Coast,American chaffseed,Schwalbea americana,Flowering Plants,Endangered
150,Biscayne National Park,FL,Southeast,Sun Coast,Blodgett's silverbush,Argythamnia blodgettii,Flowering Plants,Threatened
151,Biscayne National Park,FL,Southeast,Sun Coast,Everglades bully,Sideroxylon reclinatum ssp. austrofloridense,Flowering Plants,Threatened
152,Biscayne National Park,FL,Southeast,Sun Coast,Florida bristle fern,Trichomanes punctatum ssp. floridanum,Flowering Plants,Endangered
153,Biscayne National Park,FL,Southeast,Sun Coast,Florida prairie-clover,Dalea carthagenensis floridana,Flowering Plants,Endangered
154,Biscayne National Park,FL,Southeast,Sun Coast,Staghorn coral,Acropora cervicornis,Corals,Threatened
155,Biscayne National Park,FL,Southeast,Sun Coast,Pineland sandmat,Chamaesyce deltoidea pinetorum,Flowering Plants,Threatened
156,Biscayne National Park,FL,Southeast,Sun Coast,Florida scrub-jay,Aphelocoma coerulescens,Birds,Threatened
157,Biscayne National Park,FL,Southeast,Sun Coast,Gray bat,Myotis grisescens,Mammals,Endangered
158,Biscayne National Park,FL,Southeast,Sun Coast,Kirtland's Warbler,Setophaga kirtlandii (= Dendroica kirtlandii),Birds,Endangered
159,Biscayne National Park,FL,Southeast,Sun Coast,Finback whale,Balaenoptera physalus,Mammals,Endangered
160,Biscayne National Park,FL,Southeast,Sun Coast,Beach jacquemontia,Jacquemontia reclinata,Flowering Plants,Endangered
161,Biscayne National Park,FL,Southeast,Sun Coast,Big Pine partridge pea,Chamaecrista lineata keyensis,Flowering Plants,Endangered
162,Biscayne National Park,FL,Southeast,Sun Coast,Carter's small-flowered flax,Linum carteri carteri,Flowering Plants,Endangered
163,Biscayne National Park,FL,Southeast,Sun Coast,Florida brickell-bush,Brickellia mosieri,Flowering Plants,Endangered
164,Biscayne National Park,FL,Southeast,Sun Coast,Florida pineland crabgrass,Digitaria pauciflora,Flowering Plants,Threatened
165,Biscayne National Park,FL,Southeast,Sun Coast,Johnson's seagrass,Halophila johnsonii,Flowering Plants,Threatened
166,Biscayne National Park,FL,Southeast,Sun Coast,Key tree cactus,Pilosocereus robinii,Flowering Plants,Endangered
167,Biscayne National Park,FL,Southeast,Sun Coast,Okeechobee gourd,Cucurbita okeechobeensis ssp. okeechobeensis,Flowering Plants,Endangered
168,Biscayne National Park,FL,Southeast,Sun Coast,Sand flax,Linum arenicola,Flowering Plants,Endangered
169,Biscayne National Park,FL,Southeast,Sun Coast,Wedge spurge,Chamaesyce deltoidea serpyllum,Flowering Plants,Endangered
170,Biscayne National Park,FL,Southeast,Sun Coast,Florida grasshopper sparrow,Ammodramus savannarum floridanus,Birds,Endangered
171,Biscayne National Park,FL,Southeast,Sun Coast,Lower Keys marsh rabbit,Sylvilagus palustris hefneri,Mammals,Endangered
172,Biscayne National Park,FL,Southeast,Sun Coast,Rice rat,Oryzomys palustris natator,Mammals,Endangered
173,Black Canyon of the Gunnison National Park,CO,Intermountain ,Southwest,Gunnison sage-grouse,Centrocercus minimus,Birds,Threatened
174,Black Canyon of the Gunnison National Park,CO,Intermountain ,Southwest,Colorado hookless Cactus,Sclerocactus glaucus,Flowering Plants,Threatened
175,Black Canyon of the Gunnison National Park,CO,Intermountain ,Southwest,Preble's meadow jumping mouse,Zapus hudsonius preblei,Mammals,Threatened
176,Blue Ridge Parkway,"NC, VA",Southeast,"Southeast, Mid-Atlantic",Heller's blazingstar,Liatris helleri,Flowering Plants,Threatened
177,Blue Ridge Parkway,"NC, VA",Southeast,"Southeast, Mid-Atlantic",Indiana bat,Myotis sodalis,Mammals,Endangered
178,Blue Ridge Parkway,"NC, VA",Southeast,"Southeast, Mid-Atlantic",Mountain golden heather,Hudsonia montana,Flowering Plants,Threatened
179,Blue Ridge Parkway,"NC, VA",Southeast,"Southeast, Mid-Atlantic",Rock gnome lichen,Gymnoderma lineare,Lichens,Endangered
180,Blue Ridge Parkway,"NC, VA",Southeast,"Southeast, Mid-Atlantic",Small whorled pogonia,Isotria medeoloides,Flowering Plants,Threatened
181,Blue Ridge Parkway,"NC, VA",Southeast,"Southeast, Mid-Atlantic",Spreading avens,Geum radiatum,Flowering Plants,Endangered
182,Blue Ridge Parkway,"NC, VA",Southeast,"Southeast, Mid-Atlantic",Swamp pink,Helonias bullata,Flowering Plants,Threatened
183,Blue Ridge Parkway,NC,Southeast,Southeast,Blue Ridge goldenrod,Solidago spithamaea,Flowering Plants,Threatened
184,Blue Ridge Parkway,NC,Southeast,Southeast,bog turtle,Clemmys muhlenbergii,Reptiles,Threatened; Similarity of Appearance (Threatened)
185,Blue Ridge Parkway,NC,Southeast,Southeast,Bunched arrowhead,Sagittaria fasciculata,Flowering Plants,Endangered
186,Blue Ridge Parkway,NC,Southeast,Southeast,Eastern prairie fringed orchid,Platanthera leucophaea,Flowering Plants,Threatened
187,Blue Ridge Parkway,NC,Southeast,Southeast,Virginia spiraea,Spiraea virginiana,Flowering Plants,Threatened
188,Blue Ridge Parkway,NC,Southeast,Southeast,Gray bat,Myotis grisescens,Mammals,Endangered
189,Blue Ridge Parkway,NC,Southeast,Southeast,Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Mammals,Endangered
190,Blue Ridge Parkway,NC,Southeast,Southeast,Mitchell's satyr Butterfly,Neonympha mitchellii mitchellii,Insects,Endangered
191,Blue Ridge Parkway,NC,Southeast,Southeast,Mountain sweet pitcher-plant,Sarracenia rubra ssp. jonesii,Flowering Plants,Endangered
192,Blue Ridge Parkway,NC,Southeast,Southeast,Roan Mountain bluet,Hedyotis purpurea var. montana,Flowering Plants,Threatened
193,Blue Ridge Parkway,NC,Southeast,Southeast,Schweinitz's sunflower,Helianthus schweinitzii,Flowering Plants,Endangered
194,Blue Ridge Parkway,NC,Southeast,Southeast,White irisette,Sisyrinchium dichotomum,Flowering Plants,Endangered
195,Bluestone National Scenic River,WV,Northeast,Mid-Atlantic,Virginia spiraea,Spiraea virginiana,Flowering Plants,Threatened
196,Bluestone National Scenic River,WV,Northeast,Mid-Atlantic,Gray bat,Myotis grisescens,Mammals,Endangered
197,Bluestone National Scenic River,WV,Northeast,Mid-Atlantic,Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Mammals,Endangered
198,Bluestone National Scenic River,WV,Northeast,Mid-Atlantic,Northern Long-Eared Bat,Myotis septentrionalis,Mammals,Threatened
199,Boston Harbor Islands National Recreation Area,MA,Northeast,Northeast,Green sea turtle,Chelonia mydas,Reptiles,Endangered; Threatened
200,Boston Harbor Islands National Recreation Area,MA,Northeast,Northeast,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
201,Bryce Canyon National Park,UT,Intermountain,Southwest,Mexican spotted owl,Strix occidentalis lucida,Birds,Threatened
202,Bryce Canyon National Park,UT,Intermountain,Southwest,Utah prairie dog,Cynomys parvidens,Mammals,Threatened
203,Bryce Canyon National Park,UT,Intermountain,Southwest,Siler pincushion cactus,"Pediocactus (=Echinocactus,=Utahia) sileri",Flowering Plants,Threatened
204,Buck Island Reef National Monument,VI,Southeast,Sun Coast ,Elkhorn coral,Acropora palmata,Corals,Threatened
205,Buck Island Reef National Monument,VI,Southeast,Sun Coast ,Green sea turtle,Chelonia mydas,Reptiles,Endangered; Threatened
206,Buck Island Reef National Monument,VI,Southeast,Sun Coast ,Hawksbill sea turtle,Eretmochelys imbricata,Reptiles,Endangered
207,Buck Island Reef National Monument,VI,Southeast,Sun Coast ,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
208,Buck Island Reef National Monument,VI,Southeast,Sun Coast ,St. Croix ground lizard,Ameiva polops,Reptiles,Endangered
209,Buck Island Reef National Monument,VI,Southeast,Sun Coast ,Staghorn coral,Acropora cervicornis,Corals,Threatened
210,Buck Island Reef National Monument,VI,Southeast,Sun Coast ,Finback whale,Balaenoptera physalus,Mammals,Endangered
211,Buck Island Reef National Monument,VI,Southeast,Sun Coast ,Sperm whale,Physeter catodon (=macrocephalus),Mammals,Endangered
212,Buck Island Reef National Monument,VI,Southeast,Sun Coast ,Eggers' century plant,Agave eggersiana,Flowering Plants,Endangered
213,Buck Island Reef National Monument,VI,Southeast,Sun Coast ,Virgin Islands tree boa,Epicrates monensis granti,Reptiles,Endangered
214,Buffalo National River,AR,Midwest,Southeast,Cave crayfish,Cambarus zophonastes,Crustaceans,Endangered
215,Buffalo National River,AR,Midwest,Southeast,Ozark Hellbender,Cryptobranchus alleganiensis bishopi,Amphibians,Endangered
216,Buffalo National River,AR,Midwest,Southeast,Pink mucket (pearlymussel),Lampsilis abrupta,Clams and Mussels,Endangered
217,Buffalo National River,AR,Midwest,Southeast,Scaleshell mussel,Leptodea leptodon,Clams and Mussels,Endangered
218,Buffalo National River,AR,Midwest,Southeast,Gray bat,Myotis grisescens,Mammals,Endangered
