Annual Visitation Report by Years: 1978 to 1979,,,
,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,
,,,
,,Recreational Visits,
,Park Name,1979,Average
,Grand Teton NP,"2,446,171","2,446,171"
,Grant-Kohrs Ranch NHS,"21,325","21,325"
,Great Basin NP,"29,947","29,947"
,Great Sand Dunes NP & PRES,"162,546","162,546"
,Great Smoky Mountains NP,"8,019,788","8,019,788"
,Greenbelt Park,"250,595","250,595"
,Guadalupe Mountains NP,"110,478","110,478"
,Guilford Courthouse NMP,"161,485","161,485"
,Gulf Islands NS,"2,965,041","2,965,041"
,Haleakala NP,"673,955","673,955"
,Hamilton Grange NMEM,371,371
,Hampton NHS,"33,332","33,332"
,Harpers Ferry NHP,"437,448","437,448"
,Hawaii Volcanoes NP,"1,632,589","1,632,589"
,Herbert Hoover NHS,"205,028","205,028"
,Home of Franklin D. Roosevelt NHS,"266,809","266,809"
,Homestead NHP,"18,084","18,084"
,Hopewell Culture NHP,"51,514","51,514"
,Hopewell Furnace NHS,"133,450","133,450"
,Horseshoe Bend NMP,"50,566","50,566"
,Hot Springs NP,"1,118,800","1,118,800"
,Hovenweep NM,"14,815","14,815"
,Hubbell Trading Post NHS,"36,344","36,344"
,Independence NHP,"2,002,333","2,002,333"
,Indiana Dunes NP,"1,606,166","1,606,166"
,Isle Royale NP,"14,782","14,782"
,Jean Lafitte NHP & PRES,"193,121","193,121"
,Jewel Cave NM,"76,921","76,921"
,"John D. Rockefeller, Jr. MEM PKWY","1,356,044","1,356,044"
,John Day Fossil Beds NM,"90,547","90,547"
,John F. Kennedy NHS,"19,308","19,308"
,John Muir NHS,"24,911","24,911"
,Johnstown Flood NMEM,"42,201","42,201"
,Joshua Tree NP,"590,543","590,543"
,Katmai NP & PRES,"10,659","10,659"
,Kennesaw Mountain NBP,"876,352","876,352"
,Kings Canyon NP,"804,175","804,175"
,Kings Mountain NMP,"212,876","212,876"
,Klondike Gold Rush NHP Seattle,"37,595","37,595"
,Lake Mead NRA,"6,155,100","6,155,100"
,Lake Meredith NRA,"1,849,425","1,849,425"
,Lake Roosevelt NRA,"794,710","794,710"
,Lassen Volcanic NP,"380,014","380,014"
,Lava Beds NM,"96,565","96,565"
,Lewis & Clark NHP,"93,453","93,453"
,Lincoln Boyhood NMEM,"237,793","237,793"
,Lincoln Home NHS,"403,236","403,236"
,Lincoln Memorial,"3,352,343","3,352,343"
,Little Bighorn Battlefield NM,"203,795","203,795"
,Longfellow House Washington's HQ NHS,"17,739","17,739"
,Lowell NHP,"92,839","92,839"
,Lyndon B. Johnson NHP,"295,303","295,303"
,Mammoth Cave NP,"1,384,910","1,384,910"
,Manassas NBP,"778,444","778,444"
,Mesa Verde NP,"473,715","473,715"
,Minute Man NHP,"956,954","956,954"
,Montezuma Castle NM,"382,085","382,085"
,Moores Creek NB,"44,272","44,272"
,Morristown NHP,"554,064","554,064"
,Mount Rainier NP,"1,516,703","1,516,703"
,Mount Rushmore NMEM,"1,245,425","1,245,425"
,Muir Woods NM,"1,227,241","1,227,241"
,Natchez Trace PKWY,"9,475,305","9,475,305"
,Natural Bridges NM,"78,564","78,564"
,Navajo NM,"41,341","41,341"
,Nez Perce NHP,"162,688","162,688"
,North Cascades NP,"742,997","742,997"
,Ocmulgee Mounds NHP,"81,572","81,572"
,Olympic NP,"2,078,843","2,078,843"
,Oregon Caves NM & PRES,"130,733","130,733"
,Organ Pipe Cactus NM,"131,634","131,634"
,Ozark NSR,"1,453,034","1,453,034"
,Padre Island NS,"774,862","774,862"
,Pea Ridge NMP,"94,197","94,197"
,Pecos NHP,"51,476","51,476"
,Perry's Victory & Intl. Peace MEM,"129,831","129,831"
,Petersburg NB,"577,283","577,283"
,Petrified Forest NP,"671,583","671,583"
,Pictured Rocks NL,"270,376","270,376"
,Pinnacles NP,"153,717","153,717"
,Pipe Spring NM,"24,946","24,946"
,Pipestone NM,"143,995","143,995"
,Piscataway Park,"137,971","137,971"
,Point Reyes NS,"1,489,135","1,489,135"
,Prince William Forest Park,"499,209","499,209"
,Pu'uhonua o Honaunau NHP,"409,436","409,436"
,Pu'ukohola Heiau NHS,"21,737","21,737"
,Rainbow Bridge NM,"97,066","97,066"
,Redwood NP,"413,917","413,917"
,Richmond NBP,"265,793","265,793"
,Rock Creek Park,"1,156,593","1,156,593"
,Rocky Mountain NP,"2,568,530","2,568,530"
,Roger Williams NMEM,"27,788","27,788"
,Russell Cave NM,"18,526","18,526"
,Sagamore Hill NHS,"167,509","167,509"
,Saguaro NP,"566,486","566,486"
,Saint Croix NSR,"391,683","391,683"
,Saint-Gaudens NHP,"31,800","31,800"
,Salem Maritime NHS,"431,799","431,799"
,Salinas Pueblo Missions NM,"26,728","26,728"
,San Juan Island NHP,"92,481","92,481"
,San Juan NHS,"1,458,778","1,458,778"
,Saratoga NHP,"97,241","97,241"
,Saugus Iron Works NHS,"32,803","32,803"
,Scotts Bluff NM,"173,291","173,291"
,Sequoia NP,"799,576","799,576"
,Shenandoah NP,"1,521,451","1,521,451"
,Shiloh NMP,"318,934","318,934"
,Sitka NHP,"69,189","69,189"
,Sleeping Bear Dunes NL,"733,463","733,463"
,Springfield Armory NHS,"15,607","15,607"
,Statue of Liberty NM,"1,661,432","1,661,432"
,Stones River NB,"122,049","122,049"
,Sunset Crater Volcano NM,"308,723","308,723"
,Theodore Roosevelt Birthplace NHS,"13,237","13,237"
