Textbox28,Textbox25,Textbox26
"*Documented occurrences of the species in the park or in the adjoining region of the park give reason to suspect that it probably occurs within the park; however, current, verifiable evidence is needed.",NPSpecies - The National Park Service biodiversity database.  IRMA Portal version.https://irma.nps.gov/npspecies.  Accessed 11/22/2022 2:58:46 PM,"The species listed here are assumed to be 'present in park' and have been reviewed.  Evidence, in the form of a current, verifiable reference, voucher or observation, is included in the NPSpecies data system or is readily available.  Those species marked with an asterisk have the designation of 'probably present,' and efforts are underway to obtain current, verifiable evidence to elevate the status to 'present in park.'"

Category1,CategoryGroup,OccurrenceNotPresent,Textbox13,PreferredCommonNames,Textbox14,Textbox1
Mammals,Rodentia/Cricetidae,,Microtus pinetorum,"WOODLAND VOLE, PINE MOUSE",- ,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Myodes gapperi,southern red-backed vole,- ,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Neotoma,Pack rats,- ,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Neotoma floridana,EASTERN WOODRAT,- Neotoma floridana haematoreia,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Ochrotomys nuttalli,GOLDEN MOUSE,- ,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Ondatra zibethicus,MUSKRAT,- ,Report Species Count: 90
Mammals,Rodentia/Cricetidae,*,Oryzomys palustris palustris,Marsh Rice Rat,- ,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Peromyscus,Deer mice,- ,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Peromyscus gossypinus,COTTON MOUSE,- ,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Peromyscus leucopus,"WHITE-FOOTED MOUSE, WOODLAND DEERMOUSE",- Peromyscus leucopus leucopus,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Peromyscus maniculatus,DEER MOUSE,- Peromyscus maniculatus maniculatus,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Reithrodontomys humulis,EASTERN HARVEST MOUSE,- Reithrodontomys humulis humulis,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Sigmodon hispidus hispidus,Common Cotton Rat,- Sigmodon hispidus,Report Species Count: 90
Mammals,Rodentia/Cricetidae,,Synaptomys cooperi,"SOUTHERN BOG LEMMING, Southern Lemming Mouse",- ,Report Species Count: 90
Mammals,Rodentia/Dipodidae,,Napaeozapus insignis,WOODLAND JUMPING MOUSE,- ,Report Species Count: 90
Mammals,Rodentia/Dipodidae,,Zapus hudsonius,"MEADOW JUMPING MOUSE, NORTHERN MEADOW JUMPING MOUSE",- ,Report Species Count: 90
Mammals,Rodentia/Muridae,,Mus musculus,HOUSE MOUSE,- ,Report Species Count: 90
Mammals,Rodentia/Muridae,,Rattus norvegicus,"NORWAY RAT, BROWN RAT",- Rattus norvegicus norvegicus,Report Species Count: 90
Mammals,Rodentia/Muridae,,Rattus rattus,BLACK RAT,- ,Report Species Count: 90
Mammals,Rodentia/Sciuridae,,Glaucomys sabrinus coloratus,Carolina northern flying squirrel,- Glaucomys sabrinus,Report Species Count: 90
Mammals,Rodentia/Sciuridae,,Glaucomys sabrinus sabrinus,"Hudson Bay flying squirrel, northern flying squirrel",- ,Report Species Count: 90
Mammals,Rodentia/Sciuridae,,Glaucomys volans,SOUTHERN FLYING SQUIRREL,- ,Report Species Count: 90
