Park Name,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,Average
Abraham Lincoln Birthplace NHP,"318,707","256,126","258,023","264,905","280,620","292,825","288,324","309,823","307,669","316,945","302,739","293,710","279,542","268,509","249,344","262,889","250,842","251,204","236,180","229,675","275,930"
Acadia NP,"3,572,114","4,124,639","3,734,763","3,745,570","3,929,054","4,288,154","4,502,283","5,440,952","2,339,591","2,475,857","2,382,113","2,656,034","2,710,749","2,845,378","2,704,831","2,760,306","2,594,497","2,602,227","2,469,238","2,516,551","3,219,745"
Adams NHP,"25,440","26,162","23,398","24,555","24,693","25,617","21,617","22,595","20,315","26,958","27,400","43,877","41,179","47,312","38,230","56,643","63,569","84,574","87,347","167,500","44,949"
Agate Fossil Beds NM,"9,018","10,097","10,317","10,366","10,187","11,439","11,156","11,459","14,482","13,891","18,785","19,467","18,970","18,719","16,567","20,596","17,594","18,117","17,933","17,399","14,828"
Alibates Flint Quarries NM,"2,398","1,919","2,251","2,200","2,202","2,494","2,140","3,842","3,418","3,812","3,419","3,155","3,392","2,769","3,276","3,363","3,293","3,047","3,131","2,456","2,899"
Allegheny Portage Railroad NHS,"60,069","55,148","59,635","69,523","68,990","93,289","123,622","133,324","131,735","154,816","183,473","189,009","160,394","145,307","139,446","121,841","111,100","111,391","133,396","142,340","119,392"
Amistad NRA,"1,259,668","1,221,445","1,164,338","1,139,366","1,206,669","1,219,967","1,284,606","1,321,168","1,306,474","1,215,691","1,559,659","1,505,084","1,591,903","1,422,321","1,238,990","1,084,433","1,129,811","1,164,166","1,234,506","1,097,650","1,268,396"
Andersonville NHS,"104,053","110,921","101,029","118,440","129,798","130,114","129,912","136,068","131,406","151,408","143,025","136,567","162,279","156,581","197,394","196,340","225,653","182,539","167,373","160,974","148,594"
Andrew Johnson NHS,"77,578","119,410","84,889","68,607","72,600","77,095","76,566","71,350","71,017","82,076","64,481","41,703","59,538","63,196","59,102","67,309","60,207","51,779","59,897","49,551","68,898"
Aniakchak NM & PRES,,,,,,,,853,967,"1,469","1,638","1,593","1,193",0,,,209,377,251,206,796
Antietam NB,"410,399","433,122","528,369","585,190","706,720","610,674","135,117","147,007","217,249","263,110","243,707","181,909","237,821","215,914","246,082","275,639","275,385","268,897","286,896","303,599","328,640"
Apostle Islands NL,"125,756","130,913","127,300","117,353","113,621","137,341","140,107","135,016","140,980","141,038","113,106","129,793","147,376","167,909","168,614","183,636","236,829","193,260","181,760","185,435","150,857"
Appomattox Court House NHP,"240,405","246,277","318,027","277,613","323,784","336,075","312,693","377,440","402,947","321,668","311,921","211,557","273,768","223,288","205,938","204,862","201,874","198,665","196,363","190,422","268,779"
Arches NP,"339,415","287,875","345,180","363,464","419,444","468,916","520,455","555,809","620,719","705,882","799,831","773,678","777,178","859,374","856,016","858,525","837,161","869,980","786,429","754,026","639,968"
Arkansas Post NMEM,"58,349","55,443","58,297","55,113","60,258","60,593","68,623","69,023","78,468","81,388","51,594","51,604","46,655","40,361","47,919","50,422","51,858","49,087","43,903","43,502","56,123"
Arlington House The R.E. Lee MEM,"511,982","514,863","635,748","496,848","481,546","481,121","493,031","439,009","463,467","483,440","459,660","496,526","494,048","559,509","409,143","428,347","511,200","476,911","377,011","429,470","482,144"
Assateague Island NS,"2,019,438","2,150,285","2,024,519","2,304,906","2,452,652","2,648,892","2,418,662","2,074,764","2,050,593","2,087,524","1,868,445","2,002,612","1,958,017","1,928,397","1,910,450","1,892,042","1,836,784","1,891,992","1,810,501","1,897,634","2,061,455"
Aztec Ruins NM,"60,878","61,693","58,394","58,187","62,519","65,459","79,518","86,874","80,037","89,220","93,894","82,764","80,699","72,499","65,955","61,979","63,259","58,318","52,136","46,451","69,037"
Badlands NP,"1,030,484","1,026,981","1,113,675","950,242","1,025,630","1,174,398","1,110,040","1,237,956","1,326,475","1,518,396","1,205,297","1,179,458","1,130,459","1,075,569","1,024,705","970,696","1,021,049","950,453","1,105,824","955,469","1,106,663"
Bandelier NM,"210,850","199,775","215,500","238,434","237,977","261,527","249,561","322,273","327,918","345,725","360,204","366,638","430,138","395,677","363,447","409,303","354,672","332,764","248,276","313,850","309,225"
Bent's Old Fort NHS,"44,318","40,173","38,330","42,875","44,770","41,194","41,832","45,512","43,209","47,170","48,609","44,935","44,717","38,338","37,640","38,771","41,106","36,814","30,461","30,987","41,088"
Bering Land Bridge NPRES,,,,,,,,,,,,,,,,,"3,740","3,000","3,025","3,525","3,323"
